Curriculum,Proposed Curriculum,,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,"MATH 20A","MATH","20A",,,,4,"","",
2,"CSE 8A","CSE","8A",,,,4,"","",
3,"MATH 20B","MATH","20B","4249881180;1",,,4,"","",
4,"CSE 8B","CSE","8B","2",,,4,"","",
5,"MATH 20C","MATH","20C","3",,,4,"","",
6,"CSE 12","CSE","12","4",,,4,"","",
7,"CSE 15L","CSE","15L","4",,,2,"","",
8,"CSE 20","CSE","20","2",,,4,"","",
9,"CSE 21","CSE","21","8",,,4,"","",
10,"CSE 30","CSE","30","6;7",,,4,"","",
11,"CSE 100","CSE","100","6;7;10;9",,,4,"","",
12,"CSE 105","CSE","105","6;7;9;8",,,4,"","",
13,"MATH 18","MATH","18",,,,4,"","",
14,"CSE 101","CSE","101","11",,,4,"","",
15,"CSE 110","CSE","110","11",,,4,"","",
16,"CSE 140","CSE","140","10;8",,,4,"","",
17,"CSE 140L","CSE","140L","10;8",,,2,"","",
18,"CSE 103","CSE","103","9;3;1",,,4,"","",
19,"CSE 141","CSE","141","16;10;17",,,4,"","",
20,"CSE 141L","CSE","141L","16;10;17",,,2,"","",
21,"CSE GENERAL SCIENCE 1","","",,,,4,"","",
22,"CSE GENERAL SCIENCE 2","","",,,,4,"","",
23,"SYSTEMS/NETWORKS","","",,,,4,"","",
24,"LANG/DATABASES","","",,,,4,"","",
25,"CSE ELECTIVE 1","","",,,,4,"","",
26,"LEARNING/VISION/GRAPHICS","","",,,,4,"","",
27,"CSE ELECTIVE 2","","",,,,4,"","",
28,"CSE ELECTIVE 3","","",,,,4,"","",
29,"SECURITY/CRYPTOGRAPHY","","",,,,4,"","",
30,"CSE ELECTIVE 4","","",,,,4,"","",
31,"CSE ELECTIVE 5","","",,,,4,"","",
32,"CSE ELECTIVE 6","","",,,,4,"","",
33,"CSE ELECTIVE 7","","",,,,4,"","",
103212632,"CHEM 6B","","","213743646;375016303",,,4.0,"","",
213743646,"MATH 20A","","",,,,4.0,"","",
375016303,"CHEM 6A","","",,,,4.0,"","",
4249881180,"CHEM 6C","","","103212632",,,4.0,"","",